Model,Accuracy,Precision,Recall,F1-score,ROC-AUC
Logistic Regression,0.8069552874378992,0.6583850931677019,0.5668449197860963,0.6091954022988506,0.8415846443979436
Random Forest,0.7856635911994322,0.62,0.49732620320855614,0.5519287833827893,0.8260081634761942
Decision Tree,0.7388218594748048,0.5079365079365079,0.5133689839572193,0.5106382978723404,0.6663592446201143
